en,fr,de,es,nl,cz
Change language,Changer de langue,Sprache ändern,Cambiar idioma,Taal wijzigen,Vyberte jazyk
Scientific name,Nom scientifique,Wissenschaftlicher Name,Nombre científico,Wetenschappelijke naam,Vědecký název
Legislation,Législation,Gesetzgebung,Legislación,Wetgeving,Legislativa
Information,Information,Information,Información,Informatie,Informace
Usage,Utilisation en AFS,Verwendung in AFS,Uso en AFS,Gebruik in AFS,Použití v AFS
Download,Télécharger,Herunterladen,Descargar,Download,Stáhnout
Report of Tree Suitability by AgroForesTreeAdvice,Report de la compatibilité des arbres par AgroForesTreeAdvice,Bericht zur Baumverträglichkeit von AgroForesTreeAdvice,Informe de la idoneidad de los árboles por AgroForesTreeAdvice,Rapport van boomgeschiktheid door AgroForesTreeAdvice,Report o vhodnosti stromů od AgroForesTreeAdvice
Download as Excel file,Télécharger en tant que fichier Excel,Als Excel-Datei herunterladen,Descargar como archivo de Excel,Downloaden als Excel-bestand,Stáhnout jako soubor Excel
Download as CSV file,Télécharger en tant que fichier CSV,Als CSV-Datei herunterladen,Descargar como archivo CSV,Downloaden als CSV-bestand,Stáhnout jako soubor CSV
Download as SVG file,Télécharger en tant que fichier SVG,Als SVG-Datei herunterladen,Descargar como archivo SVG,Downloaden als SVG-bestand,Stáhnout jako soubor SVG
Download as PNG file,Télécharger en tant que fichier PNG,Als PNG-Datei herunterladen,Descargar como archivo PNG,Downloaden als PNG-bestand,Stáhnout jako soubor PNG
Download selected data,Télécharger les données sélectionnées,Ausgewählte Daten herunterladen,Descargar datos seleccionados,Geselecteerde gegevens downloaden,Stáhnout vybraná data
Databases,Bases de données,Datenbanken,Bases de datos,Databases,Databáze
Tools,Outils,Werkzeuge,Herramientas,Tools,Nástroje
Your site,Votre emplacement,Ihr Standort,Tu ubicación,Jouw locatie,Vaše stanoviště
Your Objectives,Vos objectifs,Ihre Ziele,Sus objetivos,Uw doelstellingen,Vaše cíle
Trees suitability,Suitabilité des arbres,Baum Eignung,Adecuación de los árboles,Geschiktheid van bomen,Vhodnost stromů
Order by,Trier par,Sortieren nach,Ordenar por,Sorteren op,Seřadit podle
Display from the,Montrer à partir du,Anzeigen ab dem,Mostrar a partir del,Weergeven vanaf de,Zobrazit od
Display to the,Montrer à,Anzeigen bis,Mostrar hasta,Weergeven tot de,Zobrazit do
Compare Trees,Comparer les Arbres,Bäume vergleichen,Comparar Árboles,Bomen vergelijken,Porovnat stromy
Main Criteria,Critères Principaux,Hauptkriterien,Criterios Principales,Belangrijkste Criteria,Hlavní Kritéria
Adaptation,Adaptation,Anpassung,Adaptación,Aanpassing,Adaptace
Efficiency,Efficacité,Effizienz,Eficiencia,Efficiëntie,Efektivita
Additional information,Informations supplémentaires,Zusätzliche Informationen,Información adicional,Extra informatie,Další informace
Species,Species,Spezies,Especies,Soorten,Druh
scientific name,nom scientifique,Wissenschaftlicher Name,nombre científico,wetenschappelijke naam,vědecký název
legislation,législation,Gesetzgebung,legislación,wetgeving,legislativa
Shade Tree Advice (coffee and cocoa),Shade Tree Advice (café et cacao),Shade Tree Advice (Kaffee und Kakao),Shade Tree Advice (café y cacao),Shade Tree Advice (koffie en cacao),Shade Tree Advice (káva a kakao)
Deciduous (fruit trees in France),Deciduous (arbres fruitiers en France),Deciduous (Obstbäume in Frankreich),Deciduous (árboles frutales en Francia),Deciduous (fruitbomen in Frankrijk),Deciduous (ovocné stromy ve Francii)
SCSM (species climate suitability model),SCSM (modèle de compatibilité climatique des espèces),SCSM (Art Klimaverträglichkeitsmodell),SCSM (modelo de idoneidad climática de especies),SCSM (soort klimaatgeschiktheidsmodel),SCSM (model klimatické vhodnosti druhů)
Czech tree selection tool,Outil de sélection d'arbres tchèques,Tschechisches Baumauswahlwerkzeug,Herramienta de selección de árboles checos,Tsjechisch boomselectiegereedschap,Český nástroj pro výběr stromů
Search:,Rechercher:,Suchen:,Buscar:,Zoeken:,Hledat:
Display _MENU_ entries, Afficher _MENU_ entrées, Anzeige _MENU_ Einträge, Mostrar _MENU_ entradas, Weergeven _MENU_ items, Zobrazit _MENU_ položek
Showing _START_ to _END_ of _TOTAL_ entries, Affichage de _START_ à _END_ sur _TOTAL_ entrées, Zeige _START_ bis _END_ von _TOTAL_ Einträgen, Mostrando _START_ a _END_ de _TOTAL_ entradas, Weergeven van _START_ tot _END_ van _TOTAL_ items, Zobrazuje se _START_ až _END_ z _TOTAL_ položek
Next,Suivant,Weiter,Siguiente,Volgende,Další
Previous,Précédent,Zurück,Previo,Vorige,Předchozí

wood,wood,bois,Holz,madera,hout,dřevo
Close,Fermer,Schließen,Cerrar,Sluiten,Zavřít
Information about the filters,Informations sur les filtres,Informationen zu den Filtern,Información sobre los filtros,Informatie over de filters,Informace o filtrech
food,nourriture,Lebensmittel,comida,voedsel,jídlo
