initialorder	side	order	BigCriteria	criteria	choice	objecttype	weightwithincriteria	BigCriteria_en	criteria_en	choice_en	BigCriteria_fr	criteria_fr	choice_fr	BigCriteria_it	criteria_it	choice_it	BigCriteria_nl	criteria_nl	choice_nl	BigCriteria_de	criteria_de	choice_de	BigCriteria_es	criteria_es	choice_es	BigCriteria_cz	criteria_cz	choice_cz	BigCriteria_fr	criteria_fr	choice_fr	BigCriteria_it	criteria_it	choice_it	BigCriteria_nl	criteria_nl	choice_nl	BigCriteria_de	criteria_de	choice_de	BigCriteria_es	criteria_es	choice_es	BigCriteria_cz	criteria_cz	choice_cz	BigCriteria_fi	criteria_fi	choice_fi
NA	responsetrait	NA	Climate	High.temperatures	High.temperatures	checkboxInput	NA	Climate	High temperatures	High temperatures	Climat	Températures élevées	Températures élevées	Il clima	Temperature elevate	Temperature elevate	Klimaat	Hoge temperaturen	Hoge temperaturen	Klima	Hohe Temperaturen	Hohe Temperaturen	Clima	Altas temperaturas	Altas temperaturas	Klima	Vysoké teploty	Vysoké teploty	Climat	Températures élevées	Températures élevées	Il clima	Temperature elevate	Temperature elevate	Klimaat	Hoge temperaturen	Hoge temperaturen	Klima	Hohe Temperaturen	Hohe Temperaturen	Clima	Altas temperaturas	Altas temperaturas	Klima	Vysoké teploty	Vysoké teploty	Ilmasto	Korkeat lämpötilat	Korkeat lämpötilat
NA	responsetrait	NA	Climate	Unseasonal.frosts	Unseasonal.frosts	checkboxInput	NA	Climate	Unseasonal frosts	Unseasonal frosts	Climat	Gelées non saisonnières	Gelées non saisonnières	Il clima	Gelate fuori stagione	Gelate fuori stagione	Klimaat	Onseizoensgebonden vorst	Onseizoensgebonden vorst	Klima	Ungeeignete Fröste	Ungeeignete Fröste	Clima	Heladas estacionales	Heladas estacionales	Klima	Nesezónní mrazy	Nesezónní mrazy	Climat	Gelées non saisonnières	Gelées non saisonnières	Il clima	Gelate fuori stagione	Gelate fuori stagione	Klimaat	Onseizoensgebonden vorst	Onseizoensgebonden vorst	Klima	Ungeeignete Fröste	Ungeeignete Fröste	Clima	Heladas estacionales	Heladas estacionales	Klima	Nesezónní mrazy	Nesezónní mrazy	Ilmasto	Vuodenaikojen ulkopuoliset pakkaset	Vuodenaikojen ulkopuoliset pakkaset
NA	responsetrait	NA	Climate	Wind.exposure	Wind.exposure	checkboxInput	NA	Climate	Wind exposure	Wind exposure	Climat	Exposition au vent	Exposition au vent	Il clima	Esposizione al vento	Esposizione al vento	Klimaat	Blootstelling aan wind	Blootstelling aan wind	Klima	Windexposition	Windexposition	Clima	Exposición al viento	Exposición al viento	Klima	Vystavení větru	Vystavení větru	Climat	Exposition au vent	Exposition au vent	Il clima	Esposizione al vento	Esposizione al vento	Klimaat	Blootstelling aan wind	Blootstelling aan wind	Klima	Windexposition	Windexposition	Clima	Exposición al viento	Exposición al viento	Klima	Vystavení větru	Vystavení větru	Ilmasto	Tuulelle altistuminen	Tuulelle altistuminen
NA	responsetrait	NA	Climate	Drought.risk	Drought.risk	checkboxInput	NA	Climate	Drought risk	Drought risk	Climat	Risque de sécheresse	Risque de sécheresse	Il clima	Rischio di siccità	Rischio di siccità	Klimaat	Droogterisico	Droogterisico	Klima	Dürrerisiko	Dürrerisiko	Clima	Riesgo de sequía	Riesgo de sequía	Klima	Riziko sucha	Riziko sucha	Climat	Risque de sécheresse	Risque de sécheresse	Il clima	Rischio di siccità	Rischio di siccità	Klimaat	Droogterisico	Droogterisico	Klima	Dürrerisiko	Dürrerisiko	Clima	Riesgo de sequía	Riesgo de sequía	Klima	Riziko sucha	Riziko sucha	Ilmasto	Kuivuusriski	Kuivuusriski
NA	responsetrait	NA	Climate	Seasonal.waterlogging	Seasonal.waterlogging	checkboxInput	NA	Climate	Seasonal waterlogging	Seasonal waterlogging	Climat	Engorgement saisonnier	Engorgement saisonnier	Il clima	Rischi di ristagno idrico stagionale	Rischi di ristagno idrico stagionale	Klimaat	Seizoensgebonden wateroverlast	Seizoensgebonden wateroverlast	Klima	Saisonale Staunässe	Saisonale Staunässe	Clima	Encharcamiento estacional	Encharcamiento estacional	Klima	Sezónní zamokření	Sezónní zamokření	Climat	Engorgement saisonnier	Engorgement saisonnier	Il clima	Rischi di ristagno idrico stagionale	Rischi di ristagno idrico stagionale	Klimaat	Seizoensgebonden wateroverlast	Seizoensgebonden wateroverlast	Klima	Saisonale Staunässe	Saisonale Staunässe	Clima	Encharcamiento estacional	Encharcamiento estacional	Klima	Sezónní zamokření	Sezónní zamokření	Ilmasto	Kausittainen vettyminen	Kausittainen vettyminen
NA	responsetrait	NA	Topography	North.facing	North.facing	checkboxInput	NA	Topography	North-facing	North-facing	Topographie	Orientation nord	Orientation nord	Topografia	Esposizione a nord	Esposizione a nord	Topografie	Naar het noorden gericht	Naar het noorden gericht	Topographie	Nach Norden ausgerichtet	Nach Norden ausgerichtet	Topografía	Orientación norte	Orientación norte	Topografie	Severní strana	Severní strana	Topographie	Orientation nord	Orientation nord	Topografia	Esposizione a nord	Esposizione a nord	Topografie	Naar het noorden gericht	Naar het noorden gericht	Topographie	Nach Norden ausgerichtet	Nach Norden ausgerichtet	Topografía	Orientación norte	Orientación norte	Topografie	Severní strana	Severní strana	Topografia	Pohjoiseen suuntautuva	Pohjoiseen suuntautuva
NA	responsetrait	NA	Topography	Upland	Upland	checkboxInput	NA	Topography	Suited to uplands	Suited to uplands	Topographie	Adapté aux hautes terres	Adapté aux hautes terres	Topografia	Adatto alle zone montane	Adatto alle zone montane	Topografie	Geschikt voor hoogland	Geschikt voor hoogland	Topographie	Für das Bergland geeignet	Für das Bergland geeignet	Topografía	Adecuado para tierras altas	Adecuado para tierras altas	Topografie	Vhodné pro vrchoviny	Vhodné pro vrchoviny	Topographie	Adapté aux hautes terres	Adapté aux hautes terres	Topografia	Adatto alle zone montane	Adatto alle zone montane	Topografie	Geschikt voor hoogland	Geschikt voor hoogland	Topographie	Für das Bergland geeignet	Für das Bergland geeignet	Topografía	Adecuado para tierras altas	Adecuado para tierras altas	Topografie	Vhodné pro vrchoviny	Vhodné pro vrchoviny	Topografia	Soveltuu ylänköihin	Soveltuu ylänköihin
NA	effecttrait	NA	Productivity	Main.products	Food products	selectInput	NA	Productivity	Main products	Food products	Productivité	Principaux produits	Produits alimentaires	Produttività	Prodotti principali	Prodotti alimentari	Productiviteit	Belangrijkste producten	Voedsel	Produktivität	Wichtigste Produkte	Nahrungsprodukte	Productividad	Principales productos	Productos alimenticios	Produktivita	Hlavní produkty	Potravinové produkty	Productivité	Principaux produits	Produits alimentaires	Produttività	Prodotti principali	Prodotti alimentari	Productiviteit	Belangrijkste producten	Voedsel	Produktivität	Wichtigste Produkte	Nahrungsprodukte	Productividad	Principales productos	Productos alimenticios	Produktivita	Hlavní produkty	Potravinové produkty	Tuottavuus	Tärkeimmät tuotteet	Elintarviketuotteet
NA	effecttrait	NA	Productivity	Main.products	Wood products e.g. timber	selectInput	NA	Productivity	Main products	Wood products e.g. timber	Productivité	Principaux produits	Produits du bois (p. ex. bois d'œuvre)	Produttività	Prodotti principali	Prodotti del legno, ad esempio legname	Productiviteit	Belangrijkste producten	Houtproducten zoals hout	Produktivität	Wichtigste Produkte	Holzprodukte, z. B. Bauholz	Productividad	Principales productos	Productos madereros	Produktivita	Hlavní produkty	Výrobky ze dřeva, např. dřevo	Productivité	Principaux produits	Produits du bois (p. ex. bois d'œuvre)	Produttività	Prodotti principali	Prodotti del legno, ad esempio legname	Productiviteit	Belangrijkste producten	Houtproducten zoals hout	Produktivität	Wichtigste Produkte	Holzprodukte, z. B. Bauholz	Productividad	Principales productos	Productos madereros	Produktivita	Hlavní produkty	Výrobky ze dřeva, např. dřevo	Tuottavuus	Tärkeimmät tuotteet	Puutuotteet, esim. puutavara
NA	effecttrait	NA	Productivity	Main.products	Biomass	selectInput	NA	Productivity	Main products	Biomass	Productivité	Principaux produits	Biomasse	Produttività	Prodotti principali	Biomassa	Productiviteit	Belangrijkste producten	Biomassa	Produktivität	Wichtigste Produkte	Biomasse	Productividad	Principales productos	Biomasa	Produktivita	Hlavní produkty	Biomasa	Productivité	Principaux produits	Biomasse	Produttività	Prodotti principali	Biomassa	Productiviteit	Belangrijkste producten	Biomassa	Produktivität	Wichtigste Produkte	Biomasse	Productividad	Principales productos	Biomasa	Produktivita	Hlavní produkty	Biomasa	Tuottavuus	Tärkeimmät tuotteet	Biomassa
