initialorder	side	order	BigCriteria	criteria	choice	objecttype	weightwithincriteria	BigCriteria_fi	criteria_fi	choice_fi	BigCriteria_en	criteria_en	choice_en	BigCriteria_nl	criteria_nl	choice_nl	BigCriteria_fr	criteria_fr	choice_fr	BigCriteria_de	criteria_de	choice_de	BigCriteria_cz	criteria_cz	choice_cz	BigCriteria_it	criteria_it	choice_it	BigCriteria_es	criteria_es	choice_es
	effecttrait		use	size	1	sliderInput		tuotto	koko		Use	size		Gebruik	grootte		Utilisation	hauteur		Verwendung	Größe		Použití	velikost		Utilizzo	dimensione		Utilice	talla	
	effecttrait		use	size	30	sliderInput		tuotto	koko		Use	size		Gebruik	grootte		Utilisation	hauteur		Verwendung	Größe		Použití	velikost		Utilizzo	dimensione		Utilice	talla	
	effecttrait		use	use	L	selectInput		tuotto	Käyttö	Laidunkäyttö	Use	AF type	Silvopastoral	Gebruik	AF-type	Silvopastoraal	Utilisation	type AF	Silvopastoral	Verwendung	AF-Typ	Silvopastoral	Použití	Typ AF	Silvopastorální	Utilizzo	Tipo AF	Silvopastorale	Utilice	Tipo AF	Silvopastoral
	effecttrait		use	use	P	selectInput		tuotto	Käyttö	Peltometsäviljelykäyttö	Use	AF type	silvoarable	Gebruik	AF-type	silvoarable	Utilisation	type AF	sylvopastoral	Verwendung	AF-Typ	silvoarable	Použití	Typ AF	silvoarable	Utilizzo	Tipo AF	silvoarabile	Utilice	Tipo AF	silvoarable
	effecttrait		use	use	VS	selectInput		tuotto	Käyttö	Vesistöjen suojakaistat	Use	AF type	Water protection strips	Gebruik	AF-type	Stroken voor waterbescherming	Utilisation	type AF	Bandes de protection contre l eau	Verwendung	AF-Typ	Wasserschutzstreifen	Použití	Typ AF	Pásy na ochranu proti vodě	Utilizzo	Tipo AF	Strisce di protezione dall'acqua	Utilice	Tipo AF	Bandas de protección contra el agua
	effecttrait		use	use	T	selectInput		tuotto	Käyttö	Tuulensuojaistutukset	Use	AF type	Windbreaks	Gebruik	AF-type	Windschermen	Utilisation	type AF	Brise-vent	Verwendung	AF-Typ	Windschutzstreifen	Použití	Typ AF	Větrolamy	Utilizzo	Tipo AF	Frangivento	Utilice	Tipo AF	Cortavientos
	effecttrait		use	yield	puu	checkboxGroupInput		tuotto	tuotto	puuaines	Use	product	wood material	Gebruik	product	houtmateriaal	Utilisation	produit	matériaux en bois	Verwendung	Produkt	Holzmaterial	Použití	produkt	dřevěný materiál	Utilizzo	prodotto	materiale legnoso	Utilice	producto	material leñoso
	effecttrait		use	yield	moni	checkboxGroupInput		tuotto	tuotto	monimuotoisuus	Use	product	biodiversity	Gebruik	product	biodiversiteit	Utilisation	produit	biodiversité	Verwendung	Produkt	Artenvielfalt	Použití	produkt	biodiverzita	Utilizzo	prodotto	biodiversità	Utilice	producto	biodiversidad
	effecttrait		use	yield	mah	checkboxGroupInput		tuotto	tuotto	mahla	Use	product	sap	Gebruik	product	sap	Utilisation	produit	sève	Verwendung	produkt	Saft	Použití	produkt	míza	Utilizzo	prodotto	linfa	Utilice	producto	savia
	effecttrait		use	yield	bio	checkboxGroupInput		tuotto	tuotto	biomassa	Use	product	biomass	Gebruik	product	biomassa	Utilisation	produit	biomasse	Verwendung	Produkt	Biomasse	Použití	produkt	biomasa	Utilizzo	prodotto	biomassa	Utilice	producto	biomasa
	effecttrait		use	yield	N+	checkboxGroupInput		tuotto	tuotto	N+ (typensitoja)	Use	product	N+ (nitrogen fixation)	Gebruik	product	N+ (stikstofbinding)	Utilisation	produit	N+ (fixation de l azote)	Verwendung	produkt	N+ (Stickstofffixierung)	Použití	produkt	N+ (fixace dusíku)	Utilizzo	prodotto	N+ (fissazione dell'azoto)	Utilice	producto	N+ (fijación del nitrógeno)
	effecttrait		use	yield	leh	checkboxGroupInput		tuotto	tuotto	lehdekset	Use	product	leaves	Gebruik	product	bladeren	Utilisation	produit	feuilles	Verwendung	produkt	Blätter	Použití	produkt	listy	Utilizzo	prodotto	foglie	Utilice	producto	hojas
	effecttrait		use	yield	rohdos	checkboxGroupInput		tuotto	tuotto	rohdos	Use	product	herb	Gebruik	product	kruid	Utilisation	produit	herbe	Verwendung	produkt	Kraut	Použití	produkt	byliny	Utilizzo	prodotto	erba	Utilice	producto	hierba
	effecttrait		use	yield	hed	checkboxGroupInput		tuotto	tuotto	hedelmät	Use	product	fruit	Gebruik	product	vrucht	Utilisation	produit	fruits	Verwendung	produkt	Frucht	Použití	produkt	plody	Utilizzo	prodotto	frutti	Utilice	producto	fruto
	effecttrait		use	yield	päh	checkboxGroupInput		tuotto	tuotto	pähkinät	Use	product	nuts	Gebruik	product	noten	Utilisation	produit	noix	Verwendung	produkt	Nüsse	Použití	produkt	ořechy	Utilizzo	prodotto	noci	Utilice	producto	frutos secos
	effecttrait		use	yield	öljy	checkboxGroupInput		tuotto	tuotto	öljy	Use	product	oil	Gebruik	product	olie	Utilisation	produit	huile	Verwendung	produkt	Öl	Použití	produkt	olej	Utilizzo	prodotto	olio	Utilice	producto	aceite
	effecttrait		use	yield	puno	checkboxGroupInput		tuotto	tuotto	punonta	Use	product	braiding	Gebruik	product	vlechten	Utilisation	produit	tressage	Verwendung	produkt	Geflecht	Použití	produkt	pletení	Utilizzo	prodotto	intreccio	Utilice	producto	trenzado
	effecttrait		use	yield	rehu	checkboxGroupInput		tuotto	tuotto	rehu	Use	product	fodder	Gebruik	product	voeder	Utilisation	produit	fourrage	Verwendung	produkt	Futtermittel	Použití	produkt	krmivo	Utilizzo	prodotto	foraggio	Utilice	producto	forraje
	effecttrait		use	yield	mesi	checkboxGroupInput		tuotto	tuotto	mesi	Use	product	honey	Gebruik	product	honing	Utilisation	produit	miel	Verwendung	produkt	Honig	Použití	produkt	med	Utilizzo	prodotto	miele	Utilice	producto	miel
	effecttrait		use	yield	tee	checkboxGroupInput		tuotto	tuotto	tee	Use	product	tea	Gebruik	product	thee	Utilisation	produit	thé	Verwendung	produkt	Tee	Použití	produkt	čaj	Utilizzo	prodotto	tè	Utilice	producto	té
	effecttrait		use	yield	kuitu	checkboxGroupInput		tuotto	tuotto	kuitu	Use	product	fibre	Gebruik	product	vezel	Utilisation	produit	fibre	Verwendung	produkt	Faser	Použití	produkt	vlákno	Utilizzo	prodotto	fibra	Utilice	producto	fibra
	responsetrait		climate	sun	au	selectInput		ilmasto	kasvupaikka	aurinkoinen,	Climate	orientation	sunny	Klimaat	oriëntatie	zonnig	Climat	ensoleillement	ensoleillé	Klima	Orientierung	sonnig	Klima	orientace	sunny	Il clima	orientamento	soleggiato	Clima	orientación	soleado
	responsetrait		climate	sun	pv	selectInput		ilmasto	kasvupaikka	puolivarjoinen,	Climate	orientation	semi-shaded	Klimaat	oriëntatie	halfschaduw	Climat	ensoleillement	semi-ombragé	Klima	Orientierung	halbschattig	Klima	orientace	polostinné	Clima	orientamento	semi-ombra	Clima	orientación	semisombreado
	responsetrait		climate	sun	var	selectInput		ilmasto	kasvupaikka	varjoinen	Climate	orientation	shady	Klimaat	oriëntatie	schaduwrijk	Climat	ensoleillement	ombragé	Klima	Orientierung	schattig	Klima	orientace	stinné	Clima	orientamento	ombreggiato	Clima	orientación	sombreado
	responsetrait		climate	shelter	suoja	checkboxInput		ilmasto	suojaisa	suoja	Climate	sheltered	sheltered	Klimaat	beschut	beschut	Climat	abrité	abrité	Klima	Geschützt	windgeschützt	Klima	chráněné	chráněné	Clima	riparato	riparato	Clima	protegido	protegido
	responsetrait		climate	zone	1	numericInput		ilmasto	vyöhyke	I	Climate	Finnish climate zone (I-VIII)	I	Klimaat	Finse klimaatzone (I-VIII)	I	Climat	zone climatique finlandaise (I à VIII)	I	Klima	Finnische Klimazone (I-VIII)	I	Klima	Finská klimatická zóna (I-VIII)	I	Clima	Zona climatica finlandese (I-VIII)	I	Clima	zona climática finlandesa (I-VIII)	I
	responsetrait		soil	soilhumidity	kui	selectInput		Maaperä	maaperän kosteus	kui	Soil	soil humidity	dry	Bodem	bodemvochtigheid	droog	Sol	humidité du sol	si	Boden	Bodenfeuchtigkeit	trocken	Půda	vlhkost půdy	suché	Suolo	umidità del suolo	secco	Suelo	humedad del suelo	seco
	responsetrait		soil	soilhumidity	tuo	selectInput		Maaperä	maaperän kosteus	tuore	Soil	soil humidity	fresh	Bodem	bodemvochtigheid	fris	Sol	humidité du sol	frais	Boden	Bodenfeuchtigkeit	frisch	Půda	vlhkost půdy	čerstvé	Suolo	umidità del suolo	fresco	Suelo	humedad del suelo	fresco
